Company,Ticker,Founding Year,,Prospectus link,
Bankrate,RATE,2011,Intellligent Life Corp?,https://www.sec.gov/Archives/edgar/data/0001518222/000119312511167911/d424b1.htm,1
Engage Technologies Inc,ENGA,1999,,0,0
Medscape Inc,MSCP,1999,,https://www.sec.gov/Archives/edgar/data/1014845/000095012399008871/0000950123-99-008871.txt,1
AppNet Systems Inc,APNT,1999,,https://www.sec.gov/Archives/edgar/data/1066197/000104746999024702/0001047469-99-024702.txt,1
Garden.com Inc,GDENZ,1999,,https://www.sec.gov/Archives/edgar/data/1085818/000093066199002158/0000930661-99-002158.txt,1
Paradyne Networks Inc,PDYN,1999,,https://www.sec.gov/Archives/edgar/data/76174/000095014499008121/0000950144-99-008121.txt,1
Quest Software Inc,QSFT,1999,,https://www.sec.gov/Archives/edgar/data/1088033/000089256999002219/0000892569-99-002219.txt,1
Proxicom Inc,PXCM,1999,,https://www.sec.gov/Archives/edgar/data/1070052/0000950133-99-001432.txt,1
Commerce One Inc,CMRC,1999,,https://www.sec.gov/Archives/edgar/data/1069450/000104746999026301/0001047469-99-026301.txt,1
Watchguard Technologies Inc,WGRD,1999,,https://www.sec.gov/Archives/edgar/data/1062019/000103221099001125/0001032210-99-001125.txt,1
NetObjects Inc,NETO,1999,,https://www.sec.gov/Archives/edgar/data/1009386/0001047469-99-019163.txt,1
Viador Inc,3VIAD,1999,,https://www.sec.gov/Archives/edgar/data/1089026/000101287099003849/0001012870-99-003849.txt,1
WebTrends Corporation,WEBT,1999,,https://www.sec.gov/Archives/edgar/data/1075316/0000891020-99-000104.txt,1
Freeserve PLC,FREE,1999,,0,0
Mortgage.com Inc,MDCM,1999,,0,0
Silknet Software Inc,SILK,1999,,0,0
Audible Inc,ADBL,1999,,https://www.sec.gov/Archives/edgar/data/1077926/000094018099000822/0000940180-99-000822.txt,1
Accrue Software Inc,ACRUQ,1999,,https://www.sec.gov/Archives/edgar/data/1087243/000089161899003396/0000891618-99-003396.txt,1
VIALOG Corp,VX,1999,,https://www.sec.gov/Archives/edgar/data/1016601/0000927016-99-000328.txt,1
